attack,method,f,acc,accept_rate
MinMax,Krum,0.49,0.1,
MinMax,Krum,0.6,0.1,
MinMax,SparseFed-style,0.0,0.7882,
MinMax,SparseFed-style,0.1,0.7376,
MinMax,SparseFed-style,0.2,0.6465,
MinMax,SparseFed-style,0.3,0.4098,
MinMax,SparseFed-style,0.4,0.2923,
MinMax,SparseFed-style,0.49,0.172,
MinMax,SparseFed-style,0.6,0.1886,
MinMax,AG-PTR,0.0,0.7461,0.938889
MinMax,AG-PTR,0.1,0.7438,0.927778
MinMax,AG-PTR,0.2,0.7419,0.75
MinMax,AG-PTR,0.3,0.6951,0.561111
MinMax,AG-PTR,0.4,0.6676,0.238889
MinMax,AG-PTR,0.49,0.4021,0.061111
MinMax,AG-PTR,0.6,0.0427,0.0
MinSum,DP-FedAvg,0.0,0.7119,
MinSum,DP-FedAvg,0.1,0.6524,
MinSum,DP-FedAvg,0.2,0.5321,
MinSum,DP-FedAvg,0.3,0.4058,
MinSum,DP-FedAvg,0.4,0.1979,
MinSum,DP-FedAvg,0.49,0.2351,
MinSum,DP-FedAvg,0.6,0.1948,
MinSum,FedVRDP-style,0.0,0.7419,
MinSum,FedVRDP-style,0.1,0.677,
MinSum,FedVRDP-style,0.2,0.5131,
MinSum,FedVRDP-style,0.3,0.3246,
MinSum,FedVRDP-style,0.4,0.3689,
MinSum,FedVRDP-style,0.49,0.2609,
MinSum,FedVRDP-style,0.6,0.2599,
MinSum,Median,0.0,0.6734,
MinSum,Median,0.1,0.6986,
MinSum,Median,0.2,0.4421,
MinSum,Median,0.3,0.3076,
MinSum,Median,0.4,0.2745,
MinSum,Median,0.49,0.18,
MinSum,Median,0.6,0.1,
MinSum,TrimmedMean,0.0,0.789,
MinSum,TrimmedMean,0.1,0.706,
MinSum,TrimmedMean,0.2,0.5051,
MinSum,TrimmedMean,0.3,0.1987,
MinSum,TrimmedMean,0.4,0.1715,
MinSum,TrimmedMean,0.49,0.1428,
MinSum,TrimmedMean,0.6,0.1,
MinSum,Krum,0.0,0.714,
MinSum,Krum,0.1,0.7231,
MinSum,Krum,0.2,0.7122,
MinSum,Krum,0.3,0.7104,
MinSum,Krum,0.4,0.1013,
MinSum,Krum,0.49,0.1,
MinSum,Krum,0.6,0.1,
MinSum,SparseFed-style,0.0,0.7882,
MinSum,SparseFed-style,0.1,0.7229,
MinSum,SparseFed-style,0.2,0.5751,
MinSum,SparseFed-style,0.3,0.3636,
MinSum,SparseFed-style,0.4,0.2659,
MinSum,SparseFed-style,0.49,0.1822,
MinSum,SparseFed-style,0.6,0.1,
MinSum,AG-PTR,0.0,0.7461,0.938889
MinSum,AG-PTR,0.1,0.7438,0.927778
MinSum,AG-PTR,0.2,0.7304,0.838889
MinSum,AG-PTR,0.3,0.7252,0.6
MinSum,AG-PTR,0.4,0.6832,0.222222
MinSum,AG-PTR,0.49,0.4021,0.061111
MinSum,AG-PTR,0.6,0.0427,0.0
LF,DP-FedAvg,0.0,0.7119,
LF,DP-FedAvg,0.1,0.6753,
LF,DP-FedAvg,0.2,0.6175,
LF,DP-FedAvg,0.3,0.5534,
LF,DP-FedAvg,0.4,0.4695,
LF,DP-FedAvg,0.49,0.3979,
LF,DP-FedAvg,0.6,0.2827,
LF,FedVRDP-style,0.0,0.7419,
LF,FedVRDP-style,0.1,0.7484,
LF,FedVRDP-style,0.2,0.7234,
LF,FedVRDP-style,0.3,0.6871,
LF,FedVRDP-style,0.4,0.6027,
LF,FedVRDP-style,0.49,0.4466,
LF,FedVRDP-style,0.6,0.168,
LF,Median,0.0,0.6734,
LF,Median,0.1,0.7238,
LF,Median,0.2,0.7138,
LF,Median,0.3,0.6835,
LF,Median,0.4,0.6346,
LF,Median,0.49,0.3541,
LF,Median,0.6,0.0891,
LF,TrimmedMean,0.0,0.789,
LF,TrimmedMean,0.1,0.7593,
LF,TrimmedMean,0.2,0.7347,
LF,TrimmedMean,0.3,0.7057,
LF,TrimmedMean,0.4,0.6214,
LF,TrimmedMean,0.49,0.3585,
LF,TrimmedMean,0.6,0.0954,
LF,Krum,0.0,0.714,
LF,Krum,0.1,0.7034,
LF,Krum,0.2,0.7196,
LF,Krum,0.3,0.7156,
LF,Krum,0.4,0.7082,
LF,Krum,0.49,0.7232,
LF,Krum,0.6,0.0117,
LF,SparseFed-style,0.0,0.7882,
LF,SparseFed-style,0.1,0.7917,
LF,SparseFed-style,0.2,0.7845,
LF,SparseFed-style,0.3,0.7693,
LF,SparseFed-style,0.4,0.7041,
LF,SparseFed-style,0.49,0.4474,
LF,SparseFed-style,0.6,0.1093,
LF,AG-PTR,0.0,0.7461,0.938889
LF,AG-PTR,0.1,0.7556,0.9
LF,AG-PTR,0.2,0.7298,0.794444
LF,AG-PTR,0.3,0.7506,0.805556
LF,AG-PTR,0.4,0.6674,0.577778
LF,AG-PTR,0.49,0.6538,0.311111
LF,AG-PTR,0.6,0.4018,0.072222
FoE,DP-FedAvg,0.0,0.7119,
FoE,DP-FedAvg,0.1,0.7049,
FoE,DP-FedAvg,0.2,0.6797,
FoE,DP-FedAvg,0.3,0.6412,
FoE,DP-FedAvg,0.4,0.3483,
FoE,DP-FedAvg,0.49,0.1,
FoE,DP-FedAvg,0.6,0.1,
FoE,FedVRDP-style,0.0,0.7419,
FoE,FedVRDP-style,0.1,0.7493,
FoE,FedVRDP-style,0.2,0.7198,
FoE,FedVRDP-style,0.3,0.6753,
FoE,FedVRDP-style,0.4,0.5746,
FoE,FedVRDP-style,0.49,0.1282,
FoE,FedVRDP-style,0.6,0.1,
FoE,Median,0.0,0.6734,
FoE,Median,0.1,0.7119,
FoE,Median,0.2,0.5505,
FoE,Median,0.3,0.3687,
FoE,Median,0.4,0.2768,
FoE,Median,0.49,0.0988,
FoE,Median,0.6,0.1,
FoE,TrimmedMean,0.0,0.789,
FoE,TrimmedMean,0.1,0.7614,
FoE,TrimmedMean,0.2,0.7018,
FoE,TrimmedMean,0.3,0.3487,
FoE,TrimmedMean,0.4,0.1964,
FoE,TrimmedMean,0.49,0.1988,
FoE,TrimmedMean,0.6,0.1,
FoE,Krum,0.0,0.714,
FoE,Krum,0.1,0.2174,
FoE,Krum,0.2,0.4509,
FoE,Krum,0.3,0.4214,
FoE,Krum,0.4,0.1005,
FoE,Krum,0.49,0.1,
FoE,Krum,0.6,0.1,
FoE,SparseFed-style,0.0,0.7882,
FoE,SparseFed-style,0.1,0.7925,
FoE,SparseFed-style,0.2,0.7839,
FoE,SparseFed-style,0.3,0.7693,
FoE,SparseFed-style,0.4,0.7238,
FoE,SparseFed-style,0.49,0.2661,
FoE,SparseFed-style,0.6,0.1,
FoE,AG-PTR,0.0,0.7461,0.938889
FoE,AG-PTR,0.1,0.7438,0.927778
FoE,AG-PTR,0.2,0.7296,0.688889
FoE,AG-PTR,0.3,0.733,0.55
FoE,AG-PTR,0.4,0.7159,0.294444
FoE,AG-PTR,0.49,0.4021,0.061111
FoE,AG-PTR,0.6,0.0427,0.0
