exp,attack,attack_key,method,f,seed,sigma_mode,sigma_dp,sigma_sel,sigma_rel,eps_nominal,eps_certified,rounds,acc,accept_rate,wall_sec,status,error,source,timestamp
expA,ALIE,alie,AG-PTR,0.0,1,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.7628,0.95,89.0,ok,,run,2026-09-03T20:43:46
expA,ALIE,alie,DP-FedAvg,0.0,1,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.7268,1.0,62.3,ok,,run,2026-09-03T20:44:48
expA,ALIE,alie,TrimmedMean,0.0,1,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.7854,1.0,81.7,ok,,run,2026-09-03T20:46:10
expA,ALIE,alie,AG-PTR,0.4,1,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.7001,0.38333333333333336,64.1,ok,,run,2026-09-03T20:47:14
expA,ALIE,alie,DP-FedAvg,0.4,1,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.3883,1.0,42.0,ok,,run,2026-09-03T20:47:56
expA,ALIE,alie,TrimmedMean,0.4,1,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.2004,1.0,122.2,ok,,run,2026-09-03T20:49:58
expA,MinMax,minmax,AG-PTR,0.0,1,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.7628,0.95,88.8,ok,,run,2026-09-03T20:51:27
expA,MinMax,minmax,DP-FedAvg,0.0,1,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.7268,1.0,62.2,ok,,run,2026-09-03T20:52:29
expA,MinMax,minmax,TrimmedMean,0.0,1,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.7854,1.0,81.4,ok,,run,2026-09-03T20:53:51
expA,MinMax,minmax,AG-PTR,0.4,1,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.7206,0.3611111111111111,67.7,ok,,run,2026-09-03T20:54:58
expA,MinMax,minmax,DP-FedAvg,0.4,1,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.3567,1.0,46.6,ok,,run,2026-09-03T20:55:45
expA,MinMax,minmax,TrimmedMean,0.4,1,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.2237,1.0,149.6,ok,,run,2026-09-03T20:58:14
expA,ALIE,alie,AG-PTR,0.0,2,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.7722,0.9833333333333333,92.9,ok,,run,2026-09-03T20:59:47
expA,ALIE,alie,DP-FedAvg,0.0,2,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.7375,1.0,65.7,ok,,run,2026-09-03T21:00:53
expA,ALIE,alie,TrimmedMean,0.0,2,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.8106,1.0,84.2,ok,,run,2026-09-03T21:02:17
expA,ALIE,alie,AG-PTR,0.4,2,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.7261,0.4111111111111111,64.8,ok,,run,2026-09-03T21:03:22
expA,ALIE,alie,DP-FedAvg,0.4,2,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.2723,1.0,43.5,ok,,run,2026-09-03T21:04:06
expA,ALIE,alie,TrimmedMean,0.4,2,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.3558,1.0,123.5,ok,,run,2026-09-03T21:06:09
expA,MinMax,minmax,AG-PTR,0.0,2,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.7722,0.9833333333333333,91.8,ok,,run,2026-09-03T21:07:41
expA,MinMax,minmax,DP-FedAvg,0.0,2,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.7375,1.0,63.3,ok,,run,2026-09-03T21:08:44
expA,MinMax,minmax,TrimmedMean,0.0,2,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.8106,1.0,82.4,ok,,run,2026-09-03T21:10:07
expA,MinMax,minmax,AG-PTR,0.4,2,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.7391,0.3333333333333333,69.4,ok,,run,2026-09-03T21:11:16
expA,MinMax,minmax,DP-FedAvg,0.4,2,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.4612,1.0,47.6,ok,,run,2026-09-03T21:12:04
expA,MinMax,minmax,TrimmedMean,0.4,2,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.1719,1.0,149.7,ok,,run,2026-09-03T21:14:34
expA,ALIE,alie,DP-FedAvg,0.0,0,nominal,,,,,,180,0.7238,,,ok,,legacy,2026-09-03T21:14:34
expA,ALIE,alie,DP-FedAvg,0.1,0,nominal,,,,,,180,0.6956,,,ok,,legacy,2026-09-03T21:14:34
expA,ALIE,alie,DP-FedAvg,0.2,0,nominal,,,,,,180,0.6337,,,ok,,legacy,2026-09-03T21:14:34
expA,ALIE,alie,DP-FedAvg,0.3,0,nominal,,,,,,180,0.542,,,ok,,legacy,2026-09-03T21:14:34
expA,ALIE,alie,DP-FedAvg,0.4,0,nominal,,,,,,180,0.3022,,,ok,,legacy,2026-09-03T21:14:34
expA,ALIE,alie,DP-FedAvg,0.49,0,nominal,,,,,,180,0.2028,,,ok,,legacy,2026-09-03T21:14:34
expA,ALIE,alie,DP-FedAvg,0.6,0,nominal,,,,,,180,0.1219,,,ok,,legacy,2026-09-03T21:14:34
expA,ALIE,alie,FedVRDP-style,0.0,0,nominal,,,,,,180,0.7628,,,ok,,legacy,2026-09-03T21:14:34
expA,ALIE,alie,FedVRDP-style,0.1,0,nominal,,,,,,180,0.7417,,,ok,,legacy,2026-09-03T21:14:34
expA,ALIE,alie,FedVRDP-style,0.2,0,nominal,,,,,,180,0.7046,,,ok,,legacy,2026-09-03T21:14:34
expA,ALIE,alie,FedVRDP-style,0.3,0,nominal,,,,,,180,0.5828,,,ok,,legacy,2026-09-03T21:14:34
expA,ALIE,alie,FedVRDP-style,0.4,0,nominal,,,,,,180,0.4312,,,ok,,legacy,2026-09-03T21:14:34
