exp,attack,attack_key,method,f,seed,sigma_mode,sigma_dp,sigma_sel,sigma_rel,eps_certified,is_private,sampling,rounds,acc,accept_rate,wall_sec,status,error,source,timestamp
pC,ALIE,alie,Median,0.49,0,certified,1.0338019195458117,,,,False,poisson,180,0.1,1.0,96.5,ok,,run,2026-09-09T01:33:05
pC,ALIE,alie,TrimmedMean,0.49,0,certified,1.0338019195458117,,,,False,poisson,180,0.1,1.0,120.8,ok,,run,2026-09-09T01:35:06
pC,ALIE,alie,Krum,0.49,0,certified,1.0338019195458117,,,,False,poisson,180,0.1,1.0,64.7,ok,,run,2026-09-09T01:36:10
pC,ALIE,alie,SparseFed-style,0.49,0,certified,1.0338019195458117,,,,False,poisson,180,0.1,1.0,91.3,ok,,run,2026-09-09T01:37:42
pC,ALIE,alie,AG-PTR,0.49,0,certified,1.0338019195458117,2.3116513673742034,1.1558256836871017,1.9999999999999976,True,poisson,180,0.1029,0.0055555555555555,67.3,ok,,run,2026-09-09T01:38:49
pC,ALIE,alie,DP-FedAvg,0.6,0,certified,1.0338019195458117,,,2.0,True,poisson,180,0.0955,1.0,34.5,ok,,run,2026-09-09T01:39:23
pC,ALIE,alie,FedVRDP-style,0.6,0,certified,1.0338019195458117,,,2.0,True,poisson,180,0.1,1.0,29.4,ok,,run,2026-09-09T01:39:53
pC,ALIE,alie,Median,0.6,0,certified,1.0338019195458117,,,,False,poisson,180,0.1,1.0,90.0,ok,,run,2026-09-09T01:41:23
pC,ALIE,alie,TrimmedMean,0.6,0,certified,1.0338019195458117,,,,False,poisson,180,0.1,1.0,114.0,ok,,run,2026-09-09T01:43:17
pC,ALIE,alie,Krum,0.6,0,certified,1.0338019195458117,,,,False,poisson,180,0.1,1.0,58.2,ok,,run,2026-09-09T01:44:15
pC,ALIE,alie,SparseFed-style,0.6,0,certified,1.0338019195458117,,,,False,poisson,180,0.1,1.0,84.6,ok,,run,2026-09-09T01:45:40
pC,ALIE,alie,AG-PTR,0.6,0,certified,1.0338019195458117,2.3116513673742034,1.1558256836871017,1.9999999999999976,True,poisson,180,0.0999,0.0055555555555555,60.4,ok,,run,2026-09-09T01:46:40
pC,SF,sf,DP-FedAvg,0.0,0,certified,1.0338019195458117,,,2.0,True,poisson,180,0.2824,1.0,70.5,ok,,run,2026-09-09T01:47:50
pC,SF,sf,FedVRDP-style,0.0,0,certified,1.0338019195458117,,,2.0,True,poisson,180,0.335,1.0,68.1,ok,,run,2026-09-09T01:48:59
pC,SF,sf,Median,0.0,0,certified,1.0338019195458117,,,,False,poisson,180,0.4423,1.0,162.1,ok,,run,2026-09-09T01:51:41
pC,SF,sf,TrimmedMean,0.0,0,certified,1.0338019195458117,,,,False,poisson,180,0.4795,1.0,85.5,ok,,run,2026-09-09T01:53:06
pC,SF,sf,Krum,0.0,0,certified,1.0338019195458117,,,,False,poisson,180,0.3497,1.0,93.2,ok,,run,2026-09-09T01:54:39
pC,SF,sf,SparseFed-style,0.0,0,certified,1.0338019195458117,,,,False,poisson,180,0.4678,1.0,119.7,ok,,run,2026-09-09T01:56:39
pC,SF,sf,AG-PTR,0.0,0,certified,1.0338019195458117,2.3116513673742034,1.1558256836871017,1.9999999999999976,True,poisson,180,0.3873,0.85,101.3,ok,,run,2026-09-09T01:58:21
pC,SF,sf,DP-FedAvg,0.1,0,certified,1.0338019195458117,,,2.0,True,poisson,180,0.1749,1.0,66.7,ok,,run,2026-09-09T01:59:27
pC,SF,sf,FedVRDP-style,0.1,0,certified,1.0338019195458117,,,2.0,True,poisson,180,0.1141,1.0,63.1,ok,,run,2026-09-09T02:00:30
pC,SF,sf,Median,0.1,0,certified,1.0338019195458117,,,,False,poisson,180,0.3299,1.0,157.6,ok,,run,2026-09-09T02:03:08
