attack,method,f,acc,accept_rate
ALIE,DP-FedAvg (FedAdam),0.0,0.0984,
ALIE,DP-FedAvg (FedAdam),0.1,0.1023,
ALIE,DP-FedAvg (FedAdam),0.2,0.1026,
ALIE,DP-FedAvg (FedAdam),0.3,0.1273,
ALIE,DP-FedAvg (FedAdam),0.4,0.1013,
ALIE,DP-FedAvg (FedAdam),0.49,0.1007,
ALIE,DP-FedAvg (FedAdam),0.6,0.1007,
ALIE,FedVRDP-style (FedAdam),0.0,0.5172,
ALIE,FedVRDP-style (FedAdam),0.1,0.3685,
ALIE,FedVRDP-style (FedAdam),0.2,0.1405,
ALIE,FedVRDP-style (FedAdam),0.3,0.1552,
ALIE,FedVRDP-style (FedAdam),0.4,0.1344,
ALIE,FedVRDP-style (FedAdam),0.49,0.1261,
ALIE,FedVRDP-style (FedAdam),0.6,0.154,
ALIE,Median (FedAdam),0.0,0.7789,
ALIE,Median (FedAdam),0.1,0.0998,
ALIE,Median (FedAdam),0.2,0.408,
ALIE,Median (FedAdam),0.3,0.1824,
ALIE,Median (FedAdam),0.4,0.1,
ALIE,Median (FedAdam),0.49,0.1,
ALIE,Median (FedAdam),0.6,0.1,
ALIE,TrimmedMean (FedAdam),0.0,0.8256,
ALIE,TrimmedMean (FedAdam),0.1,0.3568,
ALIE,TrimmedMean (FedAdam),0.2,0.2561,
ALIE,TrimmedMean (FedAdam),0.3,0.1714,
ALIE,TrimmedMean (FedAdam),0.4,0.1,
ALIE,TrimmedMean (FedAdam),0.49,0.1,
ALIE,TrimmedMean (FedAdam),0.6,0.1,
ALIE,Krum (FedAdam),0.0,0.1,
ALIE,Krum (FedAdam),0.1,0.1,
ALIE,Krum (FedAdam),0.2,0.1,
ALIE,Krum (FedAdam),0.3,0.1542,
ALIE,Krum (FedAdam),0.4,0.1,
ALIE,Krum (FedAdam),0.49,0.1,
ALIE,Krum (FedAdam),0.6,0.1,
ALIE,SparseFed-style (FedAdam),0.0,0.8708,
ALIE,SparseFed-style (FedAdam),0.1,0.441,
ALIE,SparseFed-style (FedAdam),0.2,0.1458,
ALIE,SparseFed-style (FedAdam),0.3,0.1,
ALIE,SparseFed-style (FedAdam),0.4,0.1,
ALIE,SparseFed-style (FedAdam),0.49,0.1,
ALIE,SparseFed-style (FedAdam),0.6,0.1,
ALIE,AG-PTR (P=I),0.0,0.2924,0.288889
ALIE,AG-PTR (P=I),0.1,0.1028,0.394444
ALIE,AG-PTR (P=I),0.2,0.1009,0.416667
ALIE,AG-PTR (P=I),0.3,0.2895,0.3
ALIE,AG-PTR (P=I),0.4,0.1101,0.2
ALIE,AG-PTR (P=I),0.49,0.4505,0.055556
ALIE,AG-PTR (P=I),0.6,0.2171,0.016667
ALIE,AG-PTR (FedAdam-diag P),0.0,0.757,0.35
ALIE,AG-PTR (FedAdam-diag P),0.1,0.7536,0.327778
ALIE,AG-PTR (FedAdam-diag P),0.2,0.7347,0.1
ALIE,AG-PTR (FedAdam-diag P),0.3,0.7211,0.111111
ALIE,AG-PTR (FedAdam-diag P),0.4,0.7161,0.083333
ALIE,AG-PTR (FedAdam-diag P),0.49,0.7211,0.088889
ALIE,AG-PTR (FedAdam-diag P),0.6,0.3826,0.005556
SF,DP-FedAvg (FedAdam),0.0,0.0984,
SF,DP-FedAvg (FedAdam),0.1,0.1172,
SF,DP-FedAvg (FedAdam),0.2,0.4761,
SF,DP-FedAvg (FedAdam),0.3,0.4189,
SF,DP-FedAvg (FedAdam),0.4,0.2319,
SF,DP-FedAvg (FedAdam),0.49,0.1,
SF,DP-FedAvg (FedAdam),0.6,0.1,
SF,FedVRDP-style (FedAdam),0.0,0.5172,
SF,FedVRDP-style (FedAdam),0.1,0.574,
SF,FedVRDP-style (FedAdam),0.2,0.4869,
SF,FedVRDP-style (FedAdam),0.3,0.4278,
SF,FedVRDP-style (FedAdam),0.4,0.2605,
SF,FedVRDP-style (FedAdam),0.49,0.1,
SF,FedVRDP-style (FedAdam),0.6,0.1,
SF,Median (FedAdam),0.0,0.7789,
SF,Median (FedAdam),0.1,0.1,
SF,Median (FedAdam),0.2,0.5252,
SF,Median (FedAdam),0.3,0.2189,
SF,Median (FedAdam),0.4,0.1,
SF,Median (FedAdam),0.49,0.1,
SF,Median (FedAdam),0.6,0.1,
SF,TrimmedMean (FedAdam),0.0,0.8256,
SF,TrimmedMean (FedAdam),0.1,0.6876,
SF,TrimmedMean (FedAdam),0.2,0.1,
SF,TrimmedMean (FedAdam),0.3,0.1,
SF,TrimmedMean (FedAdam),0.4,0.1,
SF,TrimmedMean (FedAdam),0.49,0.1,
SF,TrimmedMean (FedAdam),0.6,0.1,
SF,Krum (FedAdam),0.0,0.1,
SF,Krum (FedAdam),0.1,0.1,
SF,Krum (FedAdam),0.2,0.1,
SF,Krum (FedAdam),0.3,0.1,
SF,Krum (FedAdam),0.4,0.1,
SF,Krum (FedAdam),0.49,0.1,
SF,Krum (FedAdam),0.6,0.1,
SF,SparseFed-style (FedAdam),0.0,0.8708,
SF,SparseFed-style (FedAdam),0.1,0.3213,
SF,SparseFed-style (FedAdam),0.2,0.1,
SF,SparseFed-style (FedAdam),0.3,0.1,
SF,SparseFed-style (FedAdam),0.4,0.1322,
SF,SparseFed-style (FedAdam),0.49,0.1027,
SF,SparseFed-style (FedAdam),0.6,0.1,
SF,AG-PTR (P=I),0.0,0.2924,0.288889
SF,AG-PTR (P=I),0.1,0.3438,0.194444
SF,AG-PTR (P=I),0.2,0.1065,0.277778
SF,AG-PTR (P=I),0.3,0.1119,0.211111
SF,AG-PTR (P=I),0.4,0.318,0.088889
SF,AG-PTR (P=I),0.49,0.3364,0.066667
SF,AG-PTR (P=I),0.6,0.0427,0.0
SF,AG-PTR (FedAdam-diag P),0.0,0.757,0.35
