attack_key,attack,method,f,acc_mean,acc_std,n_seeds,accept_mean,accept_std
alie,ALIE,SparseFed-style,0.6,0.1963,0.0,1,1.0,
alie,ALIE,TrimmedMean,0.0,0.7966333333333333,0.012963924302977662,3,1.0,0.0
alie,ALIE,TrimmedMean,0.1,0.769,0.0,1,1.0,
alie,ALIE,TrimmedMean,0.2,0.7079,0.0,1,1.0,
alie,ALIE,TrimmedMean,0.3,0.4873,0.0,1,1.0,
alie,ALIE,TrimmedMean,0.4,0.3509333333333333,0.14455256252773013,3,1.0,0.0
alie,ALIE,TrimmedMean,0.49,0.1,0.0,1,1.0,
alie,ALIE,TrimmedMean,0.6,0.1,0.0,1,1.0,
foe,FoE,AG-PTR,0.0,0.7728,0.0,1,0.9444444444444444,
foe,FoE,AG-PTR,0.1,0.7605,0.0,1,0.9388888888888888,
foe,FoE,AG-PTR,0.2,0.7445,0.0,1,0.8888888888888888,
foe,FoE,AG-PTR,0.3,0.7629,0.0,1,0.6333333333333333,
foe,FoE,AG-PTR,0.4,0.7555,0.0,1,0.4666666666666667,
foe,FoE,AG-PTR,0.49,0.6524,0.0,1,0.1333333333333333,
foe,FoE,AG-PTR,0.6,0.0427,0.0,1,0.0,
foe,FoE,AnchoredClip-NoGate,0.0,0.8007,0.0,1,1.0,
foe,FoE,AnchoredClip-NoGate,0.1,0.7931,0.0,1,1.0,
foe,FoE,AnchoredClip-NoGate,0.2,0.7705,0.0,1,1.0,
foe,FoE,AnchoredClip-NoGate,0.3,0.7503,0.0,1,1.0,
foe,FoE,AnchoredClip-NoGate,0.4,0.7257,0.0,1,1.0,
foe,FoE,AnchoredClip-NoGate,0.49,0.2035,0.0,1,1.0,
foe,FoE,AnchoredClip-NoGate,0.6,0.1001,0.0,1,1.0,
foe,FoE,DP-FedAvg,0.0,0.7087,0.0,1,1.0,
foe,FoE,DP-FedAvg,0.1,0.6849,0.0,1,1.0,
foe,FoE,DP-FedAvg,0.2,0.6724,0.0,1,1.0,
foe,FoE,DP-FedAvg,0.3,0.6561,0.0,1,1.0,
foe,FoE,DP-FedAvg,0.4,0.5998,0.0,1,1.0,
foe,FoE,DP-FedAvg,0.49,0.1,0.0,1,1.0,
foe,FoE,DP-FedAvg,0.6,0.1,0.0,1,1.0,
foe,FoE,DP-FedAvg+Public,0.0,0.7193,0.0,1,,
foe,FoE,DP-FedAvg+Public,0.1,0.7058,0.0,1,,
foe,FoE,DP-FedAvg+Public,0.2,0.6919,0.0,1,,
foe,FoE,DP-FedAvg+Public,0.3,0.6829,0.0,1,,
foe,FoE,DP-FedAvg+Public,0.4,0.6591,0.0,1,,
foe,FoE,DP-FedAvg+Public,0.49,0.594,0.0,1,,
foe,FoE,DP-FedAvg+Public,0.6,0.1655,0.0,1,,
foe,FoE,FLTrust,0.0,0.7505,0.0,1,,
foe,FoE,FLTrust,0.1,0.7468,0.0,1,,
foe,FoE,FLTrust,0.2,0.7445,0.0,1,,
foe,FoE,FLTrust,0.3,0.7424,0.0,1,,
foe,FoE,FLTrust,0.4,0.744,0.0,1,,
foe,FoE,FLTrust,0.49,0.7435,0.0,1,,
foe,FoE,FLTrust,0.6,0.7417,0.0,1,,
foe,FoE,FedVRDP,0.0,0.7739,0.0,1,1.0,
foe,FoE,FedVRDP,0.1,0.764,0.0,1,1.0,
foe,FoE,FedVRDP,0.2,0.7553,0.0,1,1.0,
foe,FoE,FedVRDP,0.3,0.7152,0.0,1,1.0,
foe,FoE,FedVRDP,0.4,0.642,0.0,1,1.0,
foe,FoE,FedVRDP,0.49,0.1245,0.0,1,1.0,
