attack_key,attack,method,f,acc_mean,acc_std,n_seeds,accept_mean,accept_std
foe,FoE,Krum,0.6,0.1,0.0,1,1.0,
foe,FoE,Median,0.0,0.7415,0.0,1,1.0,
foe,FoE,Median,0.1,0.6909,0.0,1,1.0,
foe,FoE,Median,0.2,0.5511,0.0,1,1.0,
foe,FoE,Median,0.3,0.4531,0.0,1,1.0,
foe,FoE,Median,0.4,0.326,0.0,1,1.0,
foe,FoE,Median,0.49,0.1763,0.0,1,1.0,
foe,FoE,Median,0.6,0.1,0.0,1,1.0,
foe,FoE,SparseFed-style,0.0,0.8003,0.0,1,1.0,
foe,FoE,SparseFed-style,0.1,0.7802,0.0,1,1.0,
foe,FoE,SparseFed-style,0.2,0.7801,0.0,1,1.0,
foe,FoE,SparseFed-style,0.3,0.7608,0.0,1,1.0,
foe,FoE,SparseFed-style,0.4,0.7245,0.0,1,1.0,
foe,FoE,SparseFed-style,0.49,0.2482,0.0,1,1.0,
foe,FoE,SparseFed-style,0.6,0.1,0.0,1,1.0,
foe,FoE,TrimmedMean,0.0,0.8045,0.0,1,1.0,
foe,FoE,TrimmedMean,0.1,0.7487,0.0,1,1.0,
foe,FoE,TrimmedMean,0.2,0.6745,0.0,1,1.0,
foe,FoE,TrimmedMean,0.3,0.3539,0.0,1,1.0,
foe,FoE,TrimmedMean,0.4,0.2479,0.0,1,1.0,
foe,FoE,TrimmedMean,0.49,0.188,0.0,1,1.0,
foe,FoE,TrimmedMean,0.6,0.1,0.0,1,1.0,
lf,LF,AG-PTR,0.0,0.7712,0.0,1,0.9166666666666666,
lf,LF,AG-PTR,0.1,0.7535,0.0,1,0.9055555555555556,
lf,LF,AG-PTR,0.2,0.7587,0.0,1,0.8833333333333333,
lf,LF,AG-PTR,0.3,0.7121,0.0,1,0.7833333333333333,
lf,LF,AG-PTR,0.4,0.6957,0.0,1,0.5777777777777777,
lf,LF,AG-PTR,0.49,0.6882,0.0,1,0.2888888888888888,
lf,LF,AG-PTR,0.6,0.3924,0.0,1,0.0555555555555555,
lf,LF,DP-FedAvg,0.0,0.6882,0.0,1,1.0,
lf,LF,DP-FedAvg,0.1,0.6513,0.0,1,1.0,
lf,LF,DP-FedAvg,0.2,0.5801,0.0,1,1.0,
lf,LF,DP-FedAvg,0.3,0.4851,0.0,1,1.0,
lf,LF,DP-FedAvg,0.4,0.3751,0.0,1,1.0,
lf,LF,DP-FedAvg,0.49,0.3165,0.0,1,1.0,
lf,LF,DP-FedAvg,0.6,0.2162,0.0,1,1.0,
lf,LF,FedVRDP,0.0,0.7776,0.0,1,1.0,
lf,LF,FedVRDP,0.1,0.7638,0.0,1,1.0,
lf,LF,FedVRDP,0.2,0.7296,0.0,1,1.0,
lf,LF,FedVRDP,0.3,0.6888,0.0,1,1.0,
lf,LF,FedVRDP,0.4,0.5824,0.0,1,1.0,
lf,LF,FedVRDP,0.49,0.4174,0.0,1,1.0,
lf,LF,FedVRDP,0.6,0.2128,0.0,1,1.0,
lf,LF,FedVRDP-style,0.0,0.7541,0.0,1,1.0,
lf,LF,FedVRDP-style,0.1,0.7379,0.0,1,1.0,
lf,LF,FedVRDP-style,0.2,0.7271,0.0,1,1.0,
lf,LF,FedVRDP-style,0.3,0.6966,0.0,1,1.0,
lf,LF,FedVRDP-style,0.4,0.6294,0.0,1,1.0,
lf,LF,FedVRDP-style,0.49,0.471,0.0,1,1.0,
lf,LF,FedVRDP-style,0.6,0.1643,0.0,1,1.0,
lf,LF,Krum,0.0,0.7123,0.0,1,1.0,
lf,LF,Krum,0.1,0.7166,0.0,1,1.0,
lf,LF,Krum,0.2,0.717,0.0,1,1.0,
lf,LF,Krum,0.3,0.7074,0.0,1,1.0,
lf,LF,Krum,0.4,0.7102,0.0,1,1.0,
lf,LF,Krum,0.49,0.6996,0.0,1,1.0,
lf,LF,Krum,0.6,0.0145,0.0,1,1.0,
lf,LF,Median,0.0,0.7415,0.0,1,1.0,
lf,LF,Median,0.1,0.649,0.0,1,1.0,
lf,LF,Median,0.2,0.681,0.0,1,1.0,
lf,LF,Median,0.3,0.6729,0.0,1,1.0,
lf,LF,Median,0.4,0.5257,0.0,1,1.0,
lf,LF,Median,0.49,0.3248,0.0,1,1.0,
lf,LF,Median,0.6,0.1382,0.0,1,1.0,
lf,LF,SparseFed-style,0.0,0.8003,0.0,1,1.0,
lf,LF,SparseFed-style,0.1,0.7892,0.0,1,1.0,
lf,LF,SparseFed-style,0.2,0.785,0.0,1,1.0,
lf,LF,SparseFed-style,0.3,0.7688,0.0,1,1.0,
lf,LF,SparseFed-style,0.4,0.6767,0.0,1,1.0,
lf,LF,SparseFed-style,0.49,0.4319,0.0,1,1.0,
lf,LF,SparseFed-style,0.6,0.1069,0.0,1,1.0,
lf,LF,TrimmedMean,0.0,0.8045,0.0,1,1.0,
lf,LF,TrimmedMean,0.1,0.7361,0.0,1,1.0,
lf,LF,TrimmedMean,0.2,0.7551,0.0,1,1.0,
lf,LF,TrimmedMean,0.3,0.7105,0.0,1,1.0,
lf,LF,TrimmedMean,0.4,0.6333,0.0,1,1.0,
lf,LF,TrimmedMean,0.49,0.3211,0.0,1,1.0,
lf,LF,TrimmedMean,0.6,0.1373,0.0,1,1.0,
minmax,MinMax,AG-PTR,0.0,0.7712,0.0,1,0.9166666666666666,
minmax,MinMax,AG-PTR,0.1,0.7594,0.0,1,0.8555555555555555,
minmax,MinMax,AG-PTR,0.2,0.7389,0.0,1,0.7777777777777778,
minmax,MinMax,AG-PTR,0.3,0.7458,0.0,1,0.5777777777777777,
minmax,MinMax,AG-PTR,0.4,0.72,0.0,1,0.2666666666666666,
minmax,MinMax,AG-PTR,0.49,0.5758,0.0,1,0.0722222222222222,
minmax,MinMax,AG-PTR,0.6,0.0427,0.0,1,0.0,
minmax,MinMax,DP-FedAvg,0.0,0.6882,0.0,1,1.0,
minmax,MinMax,DP-FedAvg,0.1,0.6382,0.0,1,1.0,
minmax,MinMax,DP-FedAvg,0.2,0.5579,0.0,1,1.0,
minmax,MinMax,DP-FedAvg,0.3,0.3899,0.0,1,1.0,
minmax,MinMax,DP-FedAvg,0.4,0.1389,0.0,1,1.0,
minmax,MinMax,DP-FedAvg,0.49,0.394,0.0,1,1.0,
minmax,MinMax,DP-FedAvg,0.6,0.3657,0.0,1,1.0,
minmax,MinMax,FedVRDP,0.0,0.7776,0.0,1,1.0,
minmax,MinMax,FedVRDP,0.1,0.691,0.0,1,1.0,
minmax,MinMax,FedVRDP,0.2,0.5779,0.0,1,1.0,
minmax,MinMax,FedVRDP,0.3,0.3769,0.0,1,1.0,
minmax,MinMax,FedVRDP,0.4,0.3899,0.0,1,1.0,
minmax,MinMax,FedVRDP,0.49,0.2991,0.0,1,1.0,
minmax,MinMax,FedVRDP,0.6,0.2243,0.0,1,1.0,
minmax,MinMax,FedVRDP-style,0.0,0.7541,0.0,1,1.0,
minmax,MinMax,FedVRDP-style,0.1,0.6855,0.0,1,1.0,
minmax,MinMax,FedVRDP-style,0.2,0.4086,0.0,1,1.0,
minmax,MinMax,FedVRDP-style,0.3,0.3376,0.0,1,1.0,
minmax,MinMax,FedVRDP-style,0.4,0.3675,0.0,1,1.0,
minmax,MinMax,FedVRDP-style,0.49,0.3375,0.0,1,1.0,
minmax,MinMax,FedVRDP-style,0.6,0.3304,0.0,1,1.0,
minmax,MinMax,Krum,0.0,0.7123,0.0,1,1.0,
minmax,MinMax,Krum,0.1,0.7125,0.0,1,1.0,
