attack_key,attack,method,f,acc_mean,acc_std,n_seeds,accept_mean,accept_std
sf,SF,FedVRDP (FedAdam),0.0,0.4851,0.0,1,1.0,
sf,SF,FedVRDP (FedAdam),0.3,0.4166,0.0,1,1.0,
sf,SF,FedVRDP (FedAdam),0.49,0.1,0.0,1,1.0,
sf,SF,FedVRDP-style (FedAdam),0.0,0.5181,0.0,1,1.0,
sf,SF,FedVRDP-style (FedAdam),0.3,0.356,0.0,1,1.0,
sf,SF,FedVRDP-style (FedAdam),0.49,0.1,0.0,1,1.0,
sf,SF,Krum (FedAdam),0.0,0.5276,0.0,1,1.0,
sf,SF,Krum (FedAdam),0.3,0.1,0.0,1,1.0,
sf,SF,Krum (FedAdam),0.49,0.1,0.0,1,1.0,
sf,SF,Median (FedAdam),0.0,0.7704,0.0,1,1.0,
sf,SF,Median (FedAdam),0.3,0.1,0.0,1,1.0,
sf,SF,Median (FedAdam),0.49,0.1,0.0,1,1.0,
sf,SF,SparseFed-style (FedAdam),0.0,0.8748,0.0,1,1.0,
sf,SF,SparseFed-style (FedAdam),0.3,0.1,0.0,1,1.0,
sf,SF,SparseFed-style (FedAdam),0.49,0.1,0.0,1,1.0,
sf,SF,TrimmedMean (FedAdam),0.0,0.8544,0.0,1,1.0,
sf,SF,TrimmedMean (FedAdam),0.3,0.1,0.0,1,1.0,
sf,SF,TrimmedMean (FedAdam),0.49,0.1,0.0,1,1.0,
