sigma_mode,attack_key,attack,method,f,acc_mean,acc_std,n_seeds,accept_mean,accept_std
nominal,alie,ALIE,SparseFed-style,0.1,0.7794,0.0,1,,
nominal,alie,ALIE,SparseFed-style,0.2,0.6452,0.0,1,,
nominal,alie,ALIE,SparseFed-style,0.3,0.5032,0.0,1,,
nominal,alie,ALIE,SparseFed-style,0.4,0.4411,0.0,1,,
nominal,alie,ALIE,SparseFed-style,0.49,0.3344,0.0,1,,
nominal,alie,ALIE,SparseFed-style,0.6,0.1717,0.0,1,,
nominal,alie,ALIE,TrimmedMean,0.0,0.8002666666666666,0.013197474505879232,3,1.0,0.0
nominal,alie,ALIE,TrimmedMean,0.1,0.7681,0.0,1,,
nominal,alie,ALIE,TrimmedMean,0.2,0.7043,0.0,1,,
nominal,alie,ALIE,TrimmedMean,0.3,0.5536,0.0,1,,
nominal,alie,ALIE,TrimmedMean,0.4,0.3438666666666667,0.13788782880781514,3,1.0,0.0
nominal,alie,ALIE,TrimmedMean,0.49,0.1001,0.0,1,,
nominal,alie,ALIE,TrimmedMean,0.6,0.1,0.0,1,,
nominal,foe,FoE,AG-PTR,0.0,0.761,0.0,1,0.977778,
nominal,foe,FoE,AG-PTR,0.1,0.7663,0.0,1,0.972222,
nominal,foe,FoE,AG-PTR,0.2,0.7566,0.0,1,0.9,
nominal,foe,FoE,AG-PTR,0.3,0.7645,0.0,1,0.7,
nominal,foe,FoE,AG-PTR,0.4,0.7463,0.0,1,0.383333,
nominal,foe,FoE,AG-PTR,0.49,0.6518,0.0,1,0.127778,
nominal,foe,FoE,AG-PTR,0.6,0.0427,0.0,1,0.0,
nominal,foe,FoE,DP-FedAvg,0.0,0.7238,0.0,1,,
nominal,foe,FoE,DP-FedAvg,0.1,0.7202,0.0,1,,
nominal,foe,FoE,DP-FedAvg,0.2,0.698,0.0,1,,
nominal,foe,FoE,DP-FedAvg,0.3,0.6725,0.0,1,,
nominal,foe,FoE,DP-FedAvg,0.4,0.5581,0.0,1,,
nominal,foe,FoE,DP-FedAvg,0.49,0.1,0.0,1,,
nominal,foe,FoE,DP-FedAvg,0.6,0.1,0.0,1,,
nominal,foe,FoE,FedVRDP-style,0.0,0.7628,0.0,1,,
nominal,foe,FoE,FedVRDP-style,0.1,0.7449,0.0,1,,
nominal,foe,FoE,FedVRDP-style,0.2,0.7144,0.0,1,,
nominal,foe,FoE,FedVRDP-style,0.3,0.6739,0.0,1,,
nominal,foe,FoE,FedVRDP-style,0.4,0.5677,0.0,1,,
nominal,foe,FoE,FedVRDP-style,0.49,0.1286,0.0,1,,
nominal,foe,FoE,FedVRDP-style,0.6,0.1,0.0,1,,
nominal,foe,FoE,Krum,0.0,0.7265,0.0,1,,
nominal,foe,FoE,Krum,0.1,0.3096,0.0,1,,
nominal,foe,FoE,Krum,0.2,0.7046,0.0,1,,
nominal,foe,FoE,Krum,0.3,0.5339,0.0,1,,
nominal,foe,FoE,Krum,0.4,0.003,0.0,1,,
nominal,foe,FoE,Krum,0.49,0.1,0.0,1,,
nominal,foe,FoE,Krum,0.6,0.1,0.0,1,,
nominal,foe,FoE,Median,0.0,0.7697,0.0,1,,
nominal,foe,FoE,Median,0.1,0.7264,0.0,1,,
nominal,foe,FoE,Median,0.2,0.6676,0.0,1,,
nominal,foe,FoE,Median,0.3,0.4959,0.0,1,,
nominal,foe,FoE,Median,0.4,0.1967,0.0,1,,
nominal,foe,FoE,Median,0.49,0.1477,0.0,1,,
nominal,foe,FoE,Median,0.6,0.1,0.0,1,,
nominal,foe,FoE,SparseFed-style,0.0,0.8003,0.0,1,,
nominal,foe,FoE,SparseFed-style,0.1,0.7911,0.0,1,,
nominal,foe,FoE,SparseFed-style,0.2,0.7815,0.0,1,,
nominal,foe,FoE,SparseFed-style,0.3,0.7656,0.0,1,,
nominal,foe,FoE,SparseFed-style,0.4,0.7261,0.0,1,,
nominal,foe,FoE,SparseFed-style,0.49,0.2733,0.0,1,,
nominal,foe,FoE,SparseFed-style,0.6,0.1,0.0,1,,
nominal,foe,FoE,TrimmedMean,0.0,0.8048,0.0,1,,
nominal,foe,FoE,TrimmedMean,0.1,0.7792,0.0,1,,
nominal,foe,FoE,TrimmedMean,0.2,0.7264,0.0,1,,
nominal,foe,FoE,TrimmedMean,0.3,0.4312,0.0,1,,
nominal,foe,FoE,TrimmedMean,0.4,0.194,0.0,1,,
nominal,foe,FoE,TrimmedMean,0.49,0.1341,0.0,1,,
nominal,foe,FoE,TrimmedMean,0.6,0.1,0.0,1,,
nominal,inball,InBall,AG-PTR,0.0,0.7734,0.0,1,0.9166666666666666,
nominal,inball,InBall,AG-PTR,0.1,0.7796,0.0,1,0.9055555555555556,
nominal,inball,InBall,AG-PTR,0.2,0.7468,0.0,1,0.9888888888888888,
nominal,inball,InBall,AG-PTR,0.3,0.6908,0.0,1,0.9777777777777776,
nominal,inball,InBall,AG-PTR,0.4,0.6623,0.0,1,1.0,
nominal,inball,InBall,AG-PTR,0.49,0.6503,0.0,1,1.0,
nominal,inball,InBall,AG-PTR,0.6,0.643,0.0,1,1.0,
nominal,lf,LF,AG-PTR,0.0,0.761,0.0,1,0.977778,
nominal,lf,LF,AG-PTR,0.1,0.7592,0.0,1,0.883333,
nominal,lf,LF,AG-PTR,0.2,0.778,0.0,1,0.905556,
nominal,lf,LF,AG-PTR,0.3,0.7613,0.0,1,0.816667,
nominal,lf,LF,AG-PTR,0.4,0.7521,0.0,1,0.566667,
nominal,lf,LF,AG-PTR,0.49,0.7094,0.0,1,0.311111,
nominal,lf,LF,AG-PTR,0.6,0.0427,0.0,1,0.0,
nominal,lf,LF,DP-FedAvg,0.0,0.7238,0.0,1,,
nominal,lf,LF,DP-FedAvg,0.1,0.6852,0.0,1,,
nominal,lf,LF,DP-FedAvg,0.2,0.6456,0.0,1,,
nominal,lf,LF,DP-FedAvg,0.3,0.5733,0.0,1,,
nominal,lf,LF,DP-FedAvg,0.4,0.4891,0.0,1,,
nominal,lf,LF,DP-FedAvg,0.49,0.4049,0.0,1,,
nominal,lf,LF,DP-FedAvg,0.6,0.272,0.0,1,,
nominal,lf,LF,FedVRDP-style,0.0,0.7628,0.0,1,,
nominal,lf,LF,FedVRDP-style,0.1,0.7417,0.0,1,,
nominal,lf,LF,FedVRDP-style,0.2,0.7219,0.0,1,,
nominal,lf,LF,FedVRDP-style,0.3,0.681,0.0,1,,
nominal,lf,LF,FedVRDP-style,0.4,0.5878,0.0,1,,
nominal,lf,LF,FedVRDP-style,0.49,0.4394,0.0,1,,
nominal,lf,LF,FedVRDP-style,0.6,0.1854,0.0,1,,
nominal,lf,LF,Krum,0.0,0.7265,0.0,1,,
nominal,lf,LF,Krum,0.1,0.7114,0.0,1,,
nominal,lf,LF,Krum,0.2,0.7164,0.0,1,,
nominal,lf,LF,Krum,0.3,0.7158,0.0,1,,
nominal,lf,LF,Krum,0.4,0.7254,0.0,1,,
nominal,lf,LF,Krum,0.49,0.0107,0.0,1,,
nominal,lf,LF,Krum,0.6,0.0116,0.0,1,,
nominal,lf,LF,Median,0.0,0.7697,0.0,1,,
nominal,lf,LF,Median,0.1,0.7491,0.0,1,,
nominal,lf,LF,Median,0.2,0.7554,0.0,1,,
nominal,lf,LF,Median,0.3,0.7533,0.0,1,,
nominal,lf,LF,Median,0.4,0.7129,0.0,1,,
nominal,lf,LF,Median,0.49,0.4668,0.0,1,,
nominal,lf,LF,Median,0.6,0.0864,0.0,1,,
nominal,lf,LF,SparseFed-style,0.0,0.8003,0.0,1,,
nominal,lf,LF,SparseFed-style,0.1,0.7931,0.0,1,,
nominal,lf,LF,SparseFed-style,0.2,0.786,0.0,1,,
nominal,lf,LF,SparseFed-style,0.3,0.7707,0.0,1,,
nominal,lf,LF,SparseFed-style,0.4,0.6945,0.0,1,,
nominal,lf,LF,SparseFed-style,0.49,0.4702,0.0,1,,
nominal,lf,LF,SparseFed-style,0.6,0.1048,0.0,1,,
nominal,lf,LF,TrimmedMean,0.0,0.8048,0.0,1,,
nominal,lf,LF,TrimmedMean,0.1,0.7937,0.0,1,,
nominal,lf,LF,TrimmedMean,0.2,0.7733,0.0,1,,
nominal,lf,LF,TrimmedMean,0.3,0.7575,0.0,1,,
nominal,lf,LF,TrimmedMean,0.4,0.7132,0.0,1,,
nominal,lf,LF,TrimmedMean,0.49,0.473,0.0,1,,
nominal,lf,LF,TrimmedMean,0.6,0.0883,0.0,1,,
nominal,minmax,MinMax,AG-PTR,0.0,0.7653333333333334,0.0060144270993448155,3,0.9703704444444444,0.01785865860750068
nominal,minmax,MinMax,AG-PTR,0.1,0.7491,0.0,1,0.961111,
nominal,minmax,MinMax,AG-PTR,0.2,0.7566,0.0,1,0.9,
nominal,minmax,MinMax,AG-PTR,0.3,0.7529,0.0,1,0.455556,
nominal,minmax,MinMax,AG-PTR,0.4,0.7318666666666666,0.009887534239300158,3,0.3166668148148148,0.05471562848095452
nominal,minmax,MinMax,AG-PTR,0.49,0.6518,0.0,1,0.127778,
nominal,minmax,MinMax,AG-PTR,0.6,0.0427,0.0,1,0.0,
nominal,minmax,MinMax,DP-FedAvg,0.0,0.7293666666666666,0.007201620188078076,3,1.0,0.0
nominal,minmax,MinMax,DP-FedAvg,0.1,0.6685,0.0,1,,
nominal,minmax,MinMax,DP-FedAvg,0.2,0.5952,0.0,1,,
nominal,minmax,MinMax,DP-FedAvg,0.3,0.376,0.0,1,,
nominal,minmax,MinMax,DP-FedAvg,0.4,0.38256666666666667,0.0694139995486021,3,1.0,0.0
nominal,minmax,MinMax,DP-FedAvg,0.49,0.2553,0.0,1,,
nominal,minmax,MinMax,DP-FedAvg,0.6,0.1037,0.0,1,,
