Dataset,Attack,Method,Percentage of Byzantine Cliets (%),Accuracy,Accept_Rate
Fashion-MNIST-non-IID,SF,SparseFed-style,0.4,0.2807,1.0
Fashion-MNIST-non-IID,SF,AG-PTR,0.4,0.7038,0.3388888888888889
Fashion-MNIST-non-IID,SF,DP-FedAvg,0.49,0.1,1.0
Fashion-MNIST-non-IID,SF,Median,0.49,0.1255,1.0
Fashion-MNIST-non-IID,SF,TrimmedMean,0.49,0.232,1.0
Fashion-MNIST-non-IID,SF,Krum,0.49,0.1,1.0
Fashion-MNIST-non-IID,SF,SparseFed-style,0.49,0.1,1.0
Fashion-MNIST-non-IID,SF,AG-PTR,0.49,0.5758,0.0722222222222222
Fashion-MNIST-non-IID,SF,DP-FedAvg,0.6,0.1,1.0
Fashion-MNIST-non-IID,SF,Median,0.6,0.1,1.0
Fashion-MNIST-non-IID,SF,TrimmedMean,0.6,0.1,1.0
Fashion-MNIST-non-IID,SF,Krum,0.6,0.1,1.0
Fashion-MNIST-non-IID,SF,SparseFed-style,0.6,0.1,1.0
Fashion-MNIST-non-IID,SF,AG-PTR,0.6,0.0427,0.0
Fashion-MNIST-non-IID,MinMax,DP-FedAvg,0.0,0.6882,1.0
Fashion-MNIST-non-IID,MinMax,Median,0.0,0.7415,1.0
Fashion-MNIST-non-IID,MinMax,TrimmedMean,0.0,0.8045,1.0
Fashion-MNIST-non-IID,MinMax,Krum,0.0,0.7123,1.0
Fashion-MNIST-non-IID,MinMax,SparseFed-style,0.0,0.8003,1.0
Fashion-MNIST-non-IID,MinMax,AG-PTR,0.0,0.7712,0.9166666666666666
Fashion-MNIST-non-IID,MinMax,DP-FedAvg,0.1,0.6382,1.0
Fashion-MNIST-non-IID,MinMax,Median,0.1,0.6541,1.0
Fashion-MNIST-non-IID,MinMax,TrimmedMean,0.1,0.7095,1.0
Fashion-MNIST-non-IID,MinMax,Krum,0.1,0.7125,1.0
Fashion-MNIST-non-IID,MinMax,SparseFed-style,0.1,0.7408,1.0
Fashion-MNIST-non-IID,MinMax,AG-PTR,0.1,0.7594,0.8555555555555555
Fashion-MNIST-non-IID,MinMax,DP-FedAvg,0.2,0.5579,1.0
Fashion-MNIST-non-IID,MinMax,Median,0.2,0.4598,1.0
Fashion-MNIST-non-IID,MinMax,TrimmedMean,0.2,0.5285,1.0
Fashion-MNIST-non-IID,MinMax,Krum,0.2,0.6189,1.0
Fashion-MNIST-non-IID,MinMax,SparseFed-style,0.2,0.6308,1.0
Fashion-MNIST-non-IID,MinMax,AG-PTR,0.2,0.7389,0.7777777777777778
Fashion-MNIST-non-IID,MinMax,DP-FedAvg,0.3,0.3899,1.0
Fashion-MNIST-non-IID,MinMax,Median,0.3,0.3319,1.0
Fashion-MNIST-non-IID,MinMax,TrimmedMean,0.3,0.2524,1.0
Fashion-MNIST-non-IID,MinMax,Krum,0.3,0.6224,1.0
Fashion-MNIST-non-IID,MinMax,SparseFed-style,0.3,0.4366,1.0
Fashion-MNIST-non-IID,MinMax,AG-PTR,0.3,0.7458,0.5777777777777777
Fashion-MNIST-non-IID,MinMax,DP-FedAvg,0.4,0.1389,1.0
Fashion-MNIST-non-IID,MinMax,Median,0.4,0.1906,1.0
Fashion-MNIST-non-IID,MinMax,TrimmedMean,0.4,0.2504,1.0
Fashion-MNIST-non-IID,MinMax,Krum,0.4,0.1,1.0
Fashion-MNIST-non-IID,MinMax,SparseFed-style,0.4,0.2802,1.0
Fashion-MNIST-non-IID,MinMax,AG-PTR,0.4,0.72,0.2666666666666666
Fashion-MNIST-non-IID,MinMax,DP-FedAvg,0.49,0.394,1.0
Fashion-MNIST-non-IID,MinMax,Median,0.49,0.2782,1.0
Fashion-MNIST-non-IID,MinMax,TrimmedMean,0.49,0.2777,1.0
Fashion-MNIST-non-IID,MinMax,Krum,0.49,0.1,1.0
Fashion-MNIST-non-IID,MinMax,SparseFed-style,0.49,0.2186,1.0
Fashion-MNIST-non-IID,MinMax,AG-PTR,0.49,0.5758,0.0722222222222222
Fashion-MNIST-non-IID,MinMax,DP-FedAvg,0.6,0.3657,1.0
Fashion-MNIST-non-IID,MinMax,Median,0.6,0.0974,1.0
Fashion-MNIST-non-IID,MinMax,TrimmedMean,0.6,0.0974,1.0
Fashion-MNIST-non-IID,MinMax,Krum,0.6,0.0974,1.0
Fashion-MNIST-non-IID,MinMax,SparseFed-style,0.6,0.2284,1.0
Fashion-MNIST-non-IID,MinMax,AG-PTR,0.6,0.0427,0.0
Fashion-MNIST-non-IID,MinSum,DP-FedAvg,0.0,0.6882,1.0
Fashion-MNIST-non-IID,MinSum,Median,0.0,0.7415,1.0
Fashion-MNIST-non-IID,MinSum,TrimmedMean,0.0,0.8045,1.0
Fashion-MNIST-non-IID,MinSum,Krum,0.0,0.7123,1.0
Fashion-MNIST-non-IID,MinSum,SparseFed-style,0.0,0.8003,1.0
Fashion-MNIST-non-IID,MinSum,AG-PTR,0.0,0.7712,0.9166666666666666
Fashion-MNIST-non-IID,MinSum,DP-FedAvg,0.1,0.6178,1.0
Fashion-MNIST-non-IID,MinSum,Median,0.1,0.6541,1.0
Fashion-MNIST-non-IID,MinSum,TrimmedMean,0.1,0.7232,1.0
Fashion-MNIST-non-IID,MinSum,Krum,0.1,0.6869,1.0
Fashion-MNIST-non-IID,MinSum,SparseFed-style,0.1,0.7475,1.0
Fashion-MNIST-non-IID,MinSum,AG-PTR,0.1,0.7478,0.8388888888888889
Fashion-MNIST-non-IID,MinSum,DP-FedAvg,0.2,0.5634,1.0
Fashion-MNIST-non-IID,MinSum,Median,0.2,0.4598,1.0
Fashion-MNIST-non-IID,MinSum,TrimmedMean,0.2,0.5677,1.0
Fashion-MNIST-non-IID,MinSum,Krum,0.2,0.7061,1.0
Fashion-MNIST-non-IID,MinSum,SparseFed-style,0.2,0.5786,1.0
Fashion-MNIST-non-IID,MinSum,AG-PTR,0.2,0.7423,0.7166666666666667
Fashion-MNIST-non-IID,MinSum,DP-FedAvg,0.3,0.4505,1.0
Fashion-MNIST-non-IID,MinSum,Median,0.3,0.3319,1.0
Fashion-MNIST-non-IID,MinSum,TrimmedMean,0.3,0.2602,1.0
Fashion-MNIST-non-IID,MinSum,Krum,0.3,0.6866,1.0
Fashion-MNIST-non-IID,MinSum,SparseFed-style,0.3,0.4211,1.0
Fashion-MNIST-non-IID,MinSum,AG-PTR,0.3,0.7334,0.5944444444444444
Fashion-MNIST-non-IID,MinSum,DP-FedAvg,0.4,0.1772,1.0
Fashion-MNIST-non-IID,MinSum,Median,0.4,0.1905,1.0
Fashion-MNIST-non-IID,MinSum,TrimmedMean,0.4,0.2548,1.0
Fashion-MNIST-non-IID,MinSum,Krum,0.4,0.1,1.0
Fashion-MNIST-non-IID,MinSum,SparseFed-style,0.4,0.2494,1.0
Fashion-MNIST-non-IID,MinSum,AG-PTR,0.4,0.6852,0.2888888888888888
Fashion-MNIST-non-IID,MinSum,DP-FedAvg,0.49,0.1,1.0
Fashion-MNIST-non-IID,MinSum,Median,0.49,0.2784,1.0
Fashion-MNIST-non-IID,MinSum,TrimmedMean,0.49,0.2813,1.0
Fashion-MNIST-non-IID,MinSum,Krum,0.49,0.1,1.0
Fashion-MNIST-non-IID,MinSum,SparseFed-style,0.49,0.1089,1.0
Fashion-MNIST-non-IID,MinSum,AG-PTR,0.49,0.5758,0.0722222222222222
Fashion-MNIST-non-IID,MinSum,DP-FedAvg,0.6,0.1,1.0
Fashion-MNIST-non-IID,MinSum,Median,0.6,0.1,1.0
Fashion-MNIST-non-IID,MinSum,TrimmedMean,0.6,0.1,1.0
Fashion-MNIST-non-IID,MinSum,Krum,0.6,0.1,1.0
Fashion-MNIST-non-IID,MinSum,SparseFed-style,0.6,0.1615,1.0
Fashion-MNIST-non-IID,MinSum,AG-PTR,0.6,0.0427,0.0
Fashion-MNIST-non-IID,LF,DP-FedAvg,0.0,0.6882,1.0
Fashion-MNIST-non-IID,LF,Median,0.0,0.7415,1.0
Fashion-MNIST-non-IID,LF,TrimmedMean,0.0,0.8045,1.0
Fashion-MNIST-non-IID,LF,Krum,0.0,0.7123,1.0
Fashion-MNIST-non-IID,LF,SparseFed-style,0.0,0.8003,1.0
Fashion-MNIST-non-IID,LF,AG-PTR,0.0,0.7712,0.9166666666666666
Fashion-MNIST-non-IID,LF,DP-FedAvg,0.1,0.6513,1.0
Fashion-MNIST-non-IID,LF,Median,0.1,0.649,1.0
Fashion-MNIST-non-IID,LF,TrimmedMean,0.1,0.7361,1.0
Fashion-MNIST-non-IID,LF,Krum,0.1,0.7166,1.0
Fashion-MNIST-non-IID,LF,SparseFed-style,0.1,0.7892,1.0
Fashion-MNIST-non-IID,LF,AG-PTR,0.1,0.7535,0.9055555555555556
Fashion-MNIST-non-IID,LF,DP-FedAvg,0.2,0.5801,1.0
Fashion-MNIST-non-IID,LF,Median,0.2,0.681,1.0
Fashion-MNIST-non-IID,LF,TrimmedMean,0.2,0.7551,1.0
Fashion-MNIST-non-IID,LF,Krum,0.2,0.717,1.0
Fashion-MNIST-non-IID,LF,SparseFed-style,0.2,0.785,1.0
Fashion-MNIST-non-IID,LF,AG-PTR,0.2,0.7587,0.8833333333333333
Fashion-MNIST-non-IID,LF,DP-FedAvg,0.3,0.4851,1.0
Fashion-MNIST-non-IID,LF,Median,0.3,0.6729,1.0
Fashion-MNIST-non-IID,LF,TrimmedMean,0.3,0.7105,1.0
Fashion-MNIST-non-IID,LF,Krum,0.3,0.7074,1.0
Fashion-MNIST-non-IID,LF,SparseFed-style,0.3,0.7688,1.0
Fashion-MNIST-non-IID,LF,AG-PTR,0.3,0.7121,0.7833333333333333
Fashion-MNIST-non-IID,LF,DP-FedAvg,0.4,0.3751,1.0
Fashion-MNIST-non-IID,LF,Median,0.4,0.5257,1.0
Fashion-MNIST-non-IID,LF,TrimmedMean,0.4,0.6333,1.0
Fashion-MNIST-non-IID,LF,Krum,0.4,0.7102,1.0
Fashion-MNIST-non-IID,LF,SparseFed-style,0.4,0.6767,1.0
Fashion-MNIST-non-IID,LF,AG-PTR,0.4,0.6957,0.5777777777777777
Fashion-MNIST-non-IID,LF,DP-FedAvg,0.49,0.3165,1.0
Fashion-MNIST-non-IID,LF,Median,0.49,0.3248,1.0
Fashion-MNIST-non-IID,LF,TrimmedMean,0.49,0.3211,1.0
Fashion-MNIST-non-IID,LF,Krum,0.49,0.6996,1.0
Fashion-MNIST-non-IID,LF,SparseFed-style,0.49,0.4319,1.0
Fashion-MNIST-non-IID,LF,AG-PTR,0.49,0.6882,0.2888888888888888
Fashion-MNIST-non-IID,LF,DP-FedAvg,0.6,0.2162,1.0
Fashion-MNIST-non-IID,LF,Median,0.6,0.1382,1.0
Fashion-MNIST-non-IID,LF,TrimmedMean,0.6,0.1373,1.0
Fashion-MNIST-non-IID,LF,Krum,0.6,0.0145,1.0
Fashion-MNIST-non-IID,LF,SparseFed-style,0.6,0.1069,1.0
Fashion-MNIST-non-IID,LF,AG-PTR,0.6,0.3924,0.0555555555555555
Fashion-MNIST-non-IID,FoE,DP-FedAvg,0.0,0.6882,1.0
Fashion-MNIST-non-IID,FoE,Median,0.0,0.7415,1.0
Fashion-MNIST-non-IID,FoE,TrimmedMean,0.0,0.8045,1.0
Fashion-MNIST-non-IID,FoE,Krum,0.0,0.7123,1.0
Fashion-MNIST-non-IID,FoE,SparseFed-style,0.0,0.8003,1.0
Fashion-MNIST-non-IID,FoE,AG-PTR,0.0,0.7712,0.9166666666666666
Fashion-MNIST-non-IID,FoE,DP-FedAvg,0.1,0.6755,1.0
Fashion-MNIST-non-IID,FoE,Median,0.1,0.6909,1.0
Fashion-MNIST-non-IID,FoE,TrimmedMean,0.1,0.7487,1.0
Fashion-MNIST-non-IID,FoE,Krum,0.1,0.4611,1.0
Fashion-MNIST-non-IID,FoE,SparseFed-style,0.1,0.7802,1.0
Fashion-MNIST-non-IID,FoE,AG-PTR,0.1,0.7468,0.85
Fashion-MNIST-non-IID,FoE,DP-FedAvg,0.2,0.6591,1.0
Fashion-MNIST-non-IID,FoE,Median,0.2,0.5511,1.0
Fashion-MNIST-non-IID,FoE,TrimmedMean,0.2,0.6745,1.0
Fashion-MNIST-non-IID,FoE,Krum,0.2,0.5954,1.0
Fashion-MNIST-non-IID,FoE,SparseFed-style,0.2,0.7801,1.0
Fashion-MNIST-non-IID,FoE,AG-PTR,0.2,0.7087,0.6722222222222223
Fashion-MNIST-non-IID,FoE,DP-FedAvg,0.3,0.6335,1.0
Fashion-MNIST-non-IID,FoE,Median,0.3,0.4531,1.0
Fashion-MNIST-non-IID,FoE,TrimmedMean,0.3,0.3539,1.0
Fashion-MNIST-non-IID,FoE,Krum,0.3,0.3788,1.0
Fashion-MNIST-non-IID,FoE,SparseFed-style,0.3,0.7608,1.0
Fashion-MNIST-non-IID,FoE,AG-PTR,0.3,0.6895,0.5333333333333333
Fashion-MNIST-non-IID,FoE,DP-FedAvg,0.4,0.378,1.0
Fashion-MNIST-non-IID,FoE,Median,0.4,0.326,1.0
Fashion-MNIST-non-IID,FoE,TrimmedMean,0.4,0.2479,1.0
Fashion-MNIST-non-IID,FoE,Krum,0.4,0.0117,1.0
Fashion-MNIST-non-IID,FoE,SparseFed-style,0.4,0.7245,1.0
Fashion-MNIST-non-IID,FoE,AG-PTR,0.4,0.693,0.2888888888888888
Fashion-MNIST-non-IID,FoE,DP-FedAvg,0.49,0.1,1.0
Fashion-MNIST-non-IID,FoE,Median,0.49,0.1763,1.0
Fashion-MNIST-non-IID,FoE,TrimmedMean,0.49,0.188,1.0
Fashion-MNIST-non-IID,FoE,Krum,0.49,0.1,1.0
Fashion-MNIST-non-IID,FoE,SparseFed-style,0.49,0.2482,1.0
Fashion-MNIST-non-IID,FoE,AG-PTR,0.49,0.5758,0.0722222222222222
Fashion-MNIST-non-IID,FoE,DP-FedAvg,0.6,0.1,1.0
Fashion-MNIST-non-IID,FoE,Median,0.6,0.1,1.0
Fashion-MNIST-non-IID,FoE,TrimmedMean,0.6,0.1,1.0
Fashion-MNIST-non-IID,FoE,Krum,0.6,0.1,1.0
Fashion-MNIST-non-IID,FoE,SparseFed-style,0.6,0.1,1.0
Fashion-MNIST-non-IID,FoE,AG-PTR,0.6,0.0427,0.0
Fashion-MNIST-non-IID,ALIE,FedVRDP,0.0,0.7776,1.0
Fashion-MNIST-non-IID,ALIE,FedVRDP,0.1,0.7368,1.0
Fashion-MNIST-non-IID,ALIE,FedVRDP,0.2,0.6566,1.0
Fashion-MNIST-non-IID,ALIE,FedVRDP,0.3,0.5029,1.0
Fashion-MNIST-non-IID,ALIE,FedVRDP,0.4,0.1105,1.0
Fashion-MNIST-non-IID,ALIE,FedVRDP,0.49,0.1,1.0
Fashion-MNIST-non-IID,ALIE,FedVRDP,0.6,0.1,1.0
Fashion-MNIST-non-IID,SF,FedVRDP,0.0,0.7776,1.0
Fashion-MNIST-non-IID,SF,FedVRDP,0.1,0.6883,1.0
Fashion-MNIST-non-IID,SF,FedVRDP,0.2,0.3326,1.0
Fashion-MNIST-non-IID,SF,FedVRDP,0.3,0.2381,1.0
Fashion-MNIST-non-IID,SF,FedVRDP,0.4,0.2481,1.0
Fashion-MNIST-non-IID,SF,FedVRDP,0.49,0.1677,1.0
Fashion-MNIST-non-IID,SF,FedVRDP,0.6,0.1,1.0
Fashion-MNIST-non-IID,MinMax,FedVRDP,0.0,0.7776,1.0
Fashion-MNIST-non-IID,MinMax,FedVRDP,0.1,0.691,1.0
Fashion-MNIST-non-IID,MinMax,FedVRDP,0.2,0.5779,1.0
Fashion-MNIST-non-IID,MinMax,FedVRDP,0.3,0.3769,1.0
Fashion-MNIST-non-IID,MinMax,FedVRDP,0.4,0.3899,1.0
Fashion-MNIST-non-IID,MinMax,FedVRDP,0.49,0.2991,1.0
Fashion-MNIST-non-IID,MinMax,FedVRDP,0.6,0.2243,1.0
Fashion-MNIST-non-IID,MinSum,FedVRDP,0.0,0.7776,1.0
Fashion-MNIST-non-IID,MinSum,FedVRDP,0.1,0.6699,1.0
Fashion-MNIST-non-IID,MinSum,FedVRDP,0.2,0.5833,1.0
Fashion-MNIST-non-IID,MinSum,FedVRDP,0.3,0.4738,1.0
Fashion-MNIST-non-IID,MinSum,FedVRDP,0.4,0.4246,1.0
Fashion-MNIST-non-IID,MinSum,FedVRDP,0.49,0.2722,1.0
Fashion-MNIST-non-IID,MinSum,FedVRDP,0.6,0.2121,1.0
Fashion-MNIST-non-IID,LF,FedVRDP,0.0,0.7776,1.0
Fashion-MNIST-non-IID,LF,FedVRDP,0.1,0.7638,1.0
Fashion-MNIST-non-IID,LF,FedVRDP,0.2,0.7296,1.0
Fashion-MNIST-non-IID,LF,FedVRDP,0.3,0.6888,1.0
Fashion-MNIST-non-IID,LF,FedVRDP,0.4,0.5824,1.0
Fashion-MNIST-non-IID,LF,FedVRDP,0.49,0.4174,1.0
Fashion-MNIST-non-IID,LF,FedVRDP,0.6,0.2128,1.0
Fashion-MNIST-non-IID,FoE,FedVRDP,0.0,0.7776,1.0
Fashion-MNIST-non-IID,FoE,FedVRDP,0.1,0.7496,1.0
Fashion-MNIST-non-IID,FoE,FedVRDP,0.2,0.719,1.0
Fashion-MNIST-non-IID,FoE,FedVRDP,0.3,0.7167,1.0
Fashion-MNIST-non-IID,FoE,FedVRDP,0.4,0.621,1.0
Fashion-MNIST-non-IID,FoE,FedVRDP,0.49,0.1672,1.0
Fashion-MNIST-non-IID,FoE,FedVRDP,0.6,0.1,1.0
CIFAR-10-IID,ALIE,DP-FedAvg,0.0,0.2824,1.0
CIFAR-10-IID,ALIE,Median,0.0,0.4423,1.0
CIFAR-10-IID,ALIE,TrimmedMean,0.0,0.4795,1.0
CIFAR-10-IID,ALIE,Krum,0.0,0.3497,1.0
CIFAR-10-IID,ALIE,SparseFed-style,0.0,0.4678,1.0
CIFAR-10-IID,ALIE,AG-PTR,0.0,0.3873,0.85
CIFAR-10-IID,ALIE,DP-FedAvg,0.1,0.1573,1.0
CIFAR-10-IID,ALIE,Median,0.1,0.3652,1.0
CIFAR-10-IID,ALIE,TrimmedMean,0.1,0.3475,1.0
CIFAR-10-IID,ALIE,Krum,0.1,0.3519,1.0
CIFAR-10-IID,ALIE,SparseFed-style,0.1,0.3558,1.0
CIFAR-10-IID,ALIE,AG-PTR,0.1,0.3588,0.95
CIFAR-10-IID,ALIE,DP-FedAvg,0.2,0.1188,1.0
CIFAR-10-IID,ALIE,Median,0.2,0.2289,1.0
CIFAR-10-IID,ALIE,TrimmedMean,0.2,0.1634,1.0
CIFAR-10-IID,ALIE,Krum,0.2,0.362,1.0
CIFAR-10-IID,ALIE,SparseFed-style,0.2,0.1767,1.0
CIFAR-10-IID,ALIE,AG-PTR,0.2,0.3329,0.7111111111111111
CIFAR-10-IID,ALIE,DP-FedAvg,0.3,0.1006,1.0
CIFAR-10-IID,ALIE,Median,0.3,0.1,1.0
CIFAR-10-IID,ALIE,TrimmedMean,0.3,0.1,1.0
CIFAR-10-IID,ALIE,Krum,0.3,0.3445,1.0
CIFAR-10-IID,ALIE,SparseFed-style,0.3,0.1,1.0
CIFAR-10-IID,ALIE,AG-PTR,0.3,0.3017,0.4111111111111111
CIFAR-10-IID,ALIE,DP-FedAvg,0.4,0.0953,1.0
CIFAR-10-IID,ALIE,Median,0.4,0.1001,1.0
CIFAR-10-IID,ALIE,TrimmedMean,0.4,0.1,1.0
CIFAR-10-IID,ALIE,Krum,0.4,0.1,1.0
CIFAR-10-IID,ALIE,SparseFed-style,0.4,0.1,1.0
CIFAR-10-IID,ALIE,AG-PTR,0.4,0.2696,0.2055555555555555
CIFAR-10-IID,ALIE,DP-FedAvg,0.49,0.0964,1.0
CIFAR-10-IID,ALIE,Median,0.49,0.1,1.0
CIFAR-10-IID,ALIE,TrimmedMean,0.49,0.1,1.0
CIFAR-10-IID,ALIE,Krum,0.49,0.1,1.0
CIFAR-10-IID,ALIE,SparseFed-style,0.49,0.1,1.0
CIFAR-10-IID,ALIE,AG-PTR,0.49,0.1029,0.0055555555555555
CIFAR-10-IID,ALIE,DP-FedAvg,0.6,0.0955,1.0
CIFAR-10-IID,ALIE,Median,0.6,0.1,1.0
CIFAR-10-IID,ALIE,TrimmedMean,0.6,0.1,1.0
CIFAR-10-IID,ALIE,Krum,0.6,0.1,1.0
CIFAR-10-IID,ALIE,SparseFed-style,0.6,0.1,1.0
CIFAR-10-IID,ALIE,AG-PTR,0.6,0.0999,0.0055555555555555
CIFAR-10-IID,SF,DP-FedAvg,0.0,0.2824,1.0
CIFAR-10-IID,SF,Median,0.0,0.4423,1.0
CIFAR-10-IID,SF,TrimmedMean,0.0,0.4795,1.0
CIFAR-10-IID,SF,Krum,0.0,0.3497,1.0
CIFAR-10-IID,SF,SparseFed-style,0.0,0.4678,1.0
CIFAR-10-IID,SF,AG-PTR,0.0,0.3873,0.85
CIFAR-10-IID,SF,DP-FedAvg,0.1,0.1749,1.0
CIFAR-10-IID,SF,Median,0.1,0.3299,1.0
CIFAR-10-IID,SF,TrimmedMean,0.1,0.2657,1.0
CIFAR-10-IID,SF,Krum,0.1,0.3519,1.0
CIFAR-10-IID,SF,SparseFed-style,0.1,0.1458,1.0
CIFAR-10-IID,SF,AG-PTR,0.1,0.3746,0.8888888888888888
CIFAR-10-IID,SF,DP-FedAvg,0.2,0.1496,1.0
CIFAR-10-IID,SF,Median,0.2,0.2069,1.0
CIFAR-10-IID,SF,TrimmedMean,0.2,0.1688,1.0
CIFAR-10-IID,SF,Krum,0.2,0.362,1.0
CIFAR-10-IID,SF,SparseFed-style,0.2,0.1638,1.0
CIFAR-10-IID,SF,AG-PTR,0.2,0.3582,0.85
CIFAR-10-IID,SF,DP-FedAvg,0.3,0.1267,1.0
CIFAR-10-IID,SF,Median,0.3,0.1131,1.0
CIFAR-10-IID,SF,TrimmedMean,0.3,0.1574,1.0
CIFAR-10-IID,SF,Krum,0.3,0.3445,1.0
CIFAR-10-IID,SF,SparseFed-style,0.3,0.165,1.0
CIFAR-10-IID,SF,AG-PTR,0.3,0.3379,0.6888888888888889
CIFAR-10-IID,SF,DP-FedAvg,0.4,0.1024,1.0
CIFAR-10-IID,SF,Median,0.4,0.1724,1.0
CIFAR-10-IID,SF,TrimmedMean,0.4,0.1564,1.0
CIFAR-10-IID,SF,Krum,0.4,0.3563,1.0
CIFAR-10-IID,SF,SparseFed-style,0.4,0.147,1.0
CIFAR-10-IID,SF,AG-PTR,0.4,0.2407,0.1666666666666666
CIFAR-10-IID,SF,DP-FedAvg,0.49,0.1,1.0
CIFAR-10-IID,SF,Median,0.49,0.1539,1.0
CIFAR-10-IID,SF,TrimmedMean,0.49,0.1539,1.0
CIFAR-10-IID,SF,Krum,0.49,0.1,1.0
CIFAR-10-IID,SF,SparseFed-style,0.49,0.1009,1.0
CIFAR-10-IID,SF,AG-PTR,0.49,0.1066,0.0
CIFAR-10-IID,SF,DP-FedAvg,0.6,0.1,1.0
CIFAR-10-IID,SF,Median,0.6,0.1,1.0
CIFAR-10-IID,SF,TrimmedMean,0.6,0.1,1.0
CIFAR-10-IID,SF,Krum,0.6,0.1,1.0
CIFAR-10-IID,SF,SparseFed-style,0.6,0.1,1.0
CIFAR-10-IID,SF,AG-PTR,0.6,0.1066,0.0
CIFAR-10-IID,MinMax,DP-FedAvg,0.0,0.2824,1.0
CIFAR-10-IID,MinMax,Median,0.0,0.4423,1.0
CIFAR-10-IID,MinMax,TrimmedMean,0.0,0.4795,1.0
CIFAR-10-IID,MinMax,Krum,0.0,0.3497,1.0
CIFAR-10-IID,MinMax,SparseFed-style,0.0,0.4678,1.0
CIFAR-10-IID,MinMax,AG-PTR,0.0,0.3873,0.85
CIFAR-10-IID,MinMax,DP-FedAvg,0.1,0.2097,1.0
CIFAR-10-IID,MinMax,Median,0.1,0.3299,1.0
CIFAR-10-IID,MinMax,TrimmedMean,0.1,0.2898,1.0
CIFAR-10-IID,MinMax,Krum,0.1,0.3475,1.0
CIFAR-10-IID,MinMax,SparseFed-style,0.1,0.3081,1.0
CIFAR-10-IID,MinMax,AG-PTR,0.1,0.3628,0.9055555555555556
CIFAR-10-IID,MinMax,DP-FedAvg,0.2,0.1439,1.0
CIFAR-10-IID,MinMax,Median,0.2,0.2069,1.0
CIFAR-10-IID,MinMax,TrimmedMean,0.2,0.1926,1.0
CIFAR-10-IID,MinMax,Krum,0.2,0.3381,1.0
CIFAR-10-IID,MinMax,SparseFed-style,0.2,0.2388,1.0
CIFAR-10-IID,MinMax,AG-PTR,0.2,0.3664,0.8611111111111112
CIFAR-10-IID,MinMax,DP-FedAvg,0.3,0.1423,1.0
CIFAR-10-IID,MinMax,Median,0.3,0.1133,1.0
CIFAR-10-IID,MinMax,TrimmedMean,0.3,0.1649,1.0
CIFAR-10-IID,MinMax,Krum,0.3,0.2055,1.0
CIFAR-10-IID,MinMax,SparseFed-style,0.3,0.1744,1.0
CIFAR-10-IID,MinMax,AG-PTR,0.3,0.3379,0.6888888888888889
CIFAR-10-IID,MinMax,DP-FedAvg,0.4,0.0825,1.0
CIFAR-10-IID,MinMax,Median,0.4,0.1679,1.0
CIFAR-10-IID,MinMax,TrimmedMean,0.4,0.169,1.0
CIFAR-10-IID,MinMax,Krum,0.4,0.1,1.0
CIFAR-10-IID,MinMax,SparseFed-style,0.4,0.1126,1.0
CIFAR-10-IID,MinMax,AG-PTR,0.4,0.2407,0.1666666666666666
CIFAR-10-IID,MinMax,DP-FedAvg,0.49,0.1243,1.0
CIFAR-10-IID,MinMax,Median,0.49,0.1309,1.0
CIFAR-10-IID,MinMax,TrimmedMean,0.49,0.1572,1.0
CIFAR-10-IID,MinMax,Krum,0.49,0.0858,1.0
CIFAR-10-IID,MinMax,SparseFed-style,0.49,0.1517,1.0
CIFAR-10-IID,MinMax,AG-PTR,0.49,0.1066,0.0
CIFAR-10-IID,MinMax,DP-FedAvg,0.6,0.0785,1.0
CIFAR-10-IID,MinMax,Median,0.6,0.1,1.0
CIFAR-10-IID,MinMax,TrimmedMean,0.6,0.1,1.0
CIFAR-10-IID,MinMax,Krum,0.6,0.1,1.0
CIFAR-10-IID,MinMax,SparseFed-style,0.6,0.1152,1.0
CIFAR-10-IID,MinMax,AG-PTR,0.6,0.1066,0.0
CIFAR-10-IID,MinSum,DP-FedAvg,0.0,0.2824,1.0
CIFAR-10-IID,MinSum,Median,0.0,0.4423,1.0
CIFAR-10-IID,MinSum,TrimmedMean,0.0,0.4795,1.0
CIFAR-10-IID,MinSum,Krum,0.0,0.3497,1.0
CIFAR-10-IID,MinSum,SparseFed-style,0.0,0.4678,1.0
CIFAR-10-IID,MinSum,AG-PTR,0.0,0.3873,0.85
CIFAR-10-IID,MinSum,DP-FedAvg,0.1,0.2028,1.0
CIFAR-10-IID,MinSum,Median,0.1,0.3299,1.0
CIFAR-10-IID,MinSum,TrimmedMean,0.1,0.287,1.0
CIFAR-10-IID,MinSum,Krum,0.1,0.3486,1.0
CIFAR-10-IID,MinSum,SparseFed-style,0.1,0.3201,1.0
CIFAR-10-IID,MinSum,AG-PTR,0.1,0.3654,0.8055555555555556
CIFAR-10-IID,MinSum,DP-FedAvg,0.2,0.1523,1.0
CIFAR-10-IID,MinSum,Median,0.2,0.2069,1.0
CIFAR-10-IID,MinSum,TrimmedMean,0.2,0.1686,1.0
CIFAR-10-IID,MinSum,Krum,0.2,0.3377,1.0
CIFAR-10-IID,MinSum,SparseFed-style,0.2,0.2351,1.0
CIFAR-10-IID,MinSum,AG-PTR,0.2,0.3503,0.8555555555555555
CIFAR-10-IID,MinSum,DP-FedAvg,0.3,0.1153,1.0
CIFAR-10-IID,MinSum,Median,0.3,0.1131,1.0
CIFAR-10-IID,MinSum,TrimmedMean,0.3,0.1622,1.0
