Dataset,Attack,Method,Percentage of Byzantine Cliets (%),Accuracy,Accept_Rate
Fashion-MNIST-IID,MinMax,Median,0.0,0.7698,1.0
Fashion-MNIST-IID,MinMax,TrimmedMean,0.0,0.805,1.0
Fashion-MNIST-IID,MinMax,Krum,0.0,0.712,1.0
Fashion-MNIST-IID,MinMax,SparseFed-style,0.0,0.8037,1.0
Fashion-MNIST-IID,MinMax,AG-PTR,0.0,0.7728,0.9444444444444444
Fashion-MNIST-IID,MinMax,DP-FedAvg,0.1,0.6498,1.0
Fashion-MNIST-IID,MinMax,Median,0.1,0.7326,1.0
Fashion-MNIST-IID,MinMax,TrimmedMean,0.1,0.7291,1.0
Fashion-MNIST-IID,MinMax,Krum,0.1,0.7114,1.0
Fashion-MNIST-IID,MinMax,SparseFed-style,0.1,0.7476,1.0
Fashion-MNIST-IID,MinMax,AG-PTR,0.1,0.7605,0.9388888888888888
Fashion-MNIST-IID,MinMax,DP-FedAvg,0.2,0.603,1.0
Fashion-MNIST-IID,MinMax,Median,0.2,0.6818,1.0
Fashion-MNIST-IID,MinMax,TrimmedMean,0.2,0.681,1.0
Fashion-MNIST-IID,MinMax,Krum,0.2,0.7071,1.0
Fashion-MNIST-IID,MinMax,SparseFed-style,0.2,0.7183,1.0
Fashion-MNIST-IID,MinMax,AG-PTR,0.2,0.7584,0.8611111111111112
Fashion-MNIST-IID,MinMax,DP-FedAvg,0.3,0.5183,1.0
Fashion-MNIST-IID,MinMax,Median,0.3,0.516,1.0
Fashion-MNIST-IID,MinMax,TrimmedMean,0.3,0.4971,1.0
Fashion-MNIST-IID,MinMax,Krum,0.3,0.7117,1.0
Fashion-MNIST-IID,MinMax,SparseFed-style,0.3,0.6683,1.0
Fashion-MNIST-IID,MinMax,AG-PTR,0.3,0.7629,0.6333333333333333
Fashion-MNIST-IID,MinMax,DP-FedAvg,0.4,0.4515,1.0
Fashion-MNIST-IID,MinMax,Median,0.4,0.2016,1.0
Fashion-MNIST-IID,MinMax,TrimmedMean,0.4,0.2055,1.0
Fashion-MNIST-IID,MinMax,Krum,0.4,0.1461,1.0
Fashion-MNIST-IID,MinMax,SparseFed-style,0.4,0.4693,1.0
Fashion-MNIST-IID,MinMax,AG-PTR,0.4,0.7466,0.4277777777777777
Fashion-MNIST-IID,MinMax,DP-FedAvg,0.49,0.2515,1.0
Fashion-MNIST-IID,MinMax,Median,0.49,0.0972,1.0
Fashion-MNIST-IID,MinMax,TrimmedMean,0.49,0.1693,1.0
Fashion-MNIST-IID,MinMax,Krum,0.49,0.1621,1.0
Fashion-MNIST-IID,MinMax,SparseFed-style,0.49,0.4631,1.0
Fashion-MNIST-IID,MinMax,AG-PTR,0.49,0.6524,0.1333333333333333
Fashion-MNIST-IID,MinMax,DP-FedAvg,0.6,0.0708,1.0
Fashion-MNIST-IID,MinMax,Median,0.6,0.1025,1.0
Fashion-MNIST-IID,MinMax,TrimmedMean,0.6,0.1025,1.0
Fashion-MNIST-IID,MinMax,Krum,0.6,0.1025,1.0
Fashion-MNIST-IID,MinMax,SparseFed-style,0.6,0.2093,1.0
Fashion-MNIST-IID,MinMax,AG-PTR,0.6,0.0427,0.0
Fashion-MNIST-IID,MinSum,DP-FedAvg,0.0,0.7087,1.0
Fashion-MNIST-IID,MinSum,Median,0.0,0.7698,1.0
Fashion-MNIST-IID,MinSum,TrimmedMean,0.0,0.805,1.0
Fashion-MNIST-IID,MinSum,Krum,0.0,0.712,1.0
Fashion-MNIST-IID,MinSum,SparseFed-style,0.0,0.8037,1.0
Fashion-MNIST-IID,MinSum,AG-PTR,0.0,0.7728,0.9444444444444444
Fashion-MNIST-IID,MinSum,DP-FedAvg,0.1,0.6383,1.0
Fashion-MNIST-IID,MinSum,Median,0.1,0.7326,1.0
Fashion-MNIST-IID,MinSum,TrimmedMean,0.1,0.7344,1.0
Fashion-MNIST-IID,MinSum,Krum,0.1,0.7016,1.0
Fashion-MNIST-IID,MinSum,SparseFed-style,0.1,0.742,1.0
Fashion-MNIST-IID,MinSum,AG-PTR,0.1,0.7605,0.9388888888888888
Fashion-MNIST-IID,MinSum,DP-FedAvg,0.2,0.5734,1.0
Fashion-MNIST-IID,MinSum,Median,0.2,0.6818,1.0
